









Frequency of observations in the selected location(s).:
Number of taxa: 	955

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	88523.0	70526.0	73962.0	99873.0	68974.0	77580.0	100194.0	73281.0	68521.0	67893.0	64325.0	89669.0	64016.0	65123.0	68857.0	84677.0	56122.0	51656.0	38270.0	49970.0	38182.0	33211.0	32250.0	38976.0	28587.0	27530.0	27240.0	39080.0	29415.0	29193.0	30395.0	44761.0	35871.0	34593.0	36426.0	48472.0	41494.0	49116.0	46911.0	61598.0	44448.0	45224.0	46094.0	63537.0	48783.0	50350.0	59570.0	96366.0	

Magpie Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05E-5	0.0	0.0	0.0	
Plumed Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.62E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
White-faced Whistling-Duck	1.017E-4	2.84E-5	1.35E-5	2.0E-5	1.45E-5	2.58E-5	1.896E-4	3.139E-4	4.38E-5	1.47E-5	4.66E-5	1.12E-5	7.81E-5	7.68E-5	2.9E-5	1.181E-4	5.35E-5	0.0	5.23E-5	1.601E-4	7.86E-5	3.01E-5	0.0015	2.57E-5	0.0	0.0	1.101E-4	0.0	0.0	0.0015	9.87E-5	2.23E-5	2.79E-5	0.0	0.0	0.0	0.0	0.0	2.13E-5	1.62E-5	2.25E-5	2.21E-5	4.34E-5	4.72E-5	1.23E-4	0.0	3.36E-5	2.08E-5	
Black-bellied Whistling-Duck	0.0527659	0.0479398	0.0472675	0.0459383	0.0465973	0.0417891	0.0401222	0.0419481	0.0415785	0.0422429	0.044555	0.0472516	0.053471	0.0527003	0.0601101	0.0685782	0.0877196	0.1043441	0.1185785	0.1354413	0.151354	0.1499503	0.1495504	0.1462438	0.1506279	0.1430803	0.1411527	0.1433982	0.1481217	0.1429795	0.1377529	0.1288622	0.119874	0.1032579	0.0930928	0.08508	0.0758905	0.070364	0.0687259	0.0708465	0.0723542	0.069985	0.0679481	0.0712026	0.0674415	0.0631579	0.0600638	0.0568977	
Fulvous Whistling-Duck	0.0059194	0.0055866	0.0075309	0.0054169	0.0051469	0.004563	0.004122	0.0037527	0.0037653	0.004021	0.004726	0.0047173	0.0048894	0.0041306	0.0035	0.0044168	0.0042051	0.0053043	0.0057486	0.0080648	0.00715	0.0064738	0.0069457	0.006953	0.0088852	0.0080639	0.0079295	0.0088792	0.008873	0.0093173	0.0080934	0.0061884	0.0061888	0.0039314	0.0037885	0.0039404	0.002651	0.0023618	0.0033681	0.0045943	0.006772	0.0057492	0.007463	0.0088138	0.009901	0.0069712	0.0055565	0.0070149	
whistling-duck sp.	1.13E-5	2.84E-5	2.7E-5	2.0E-5	5.8E-5	2.58E-5	2.99E-5	4.09E-5	0.0	4.42E-5	6.22E-5	1.12E-5	3.12E-5	1.54E-5	0.0015	0.0	1.78E-5	0.0	0.0	0.0	5.24E-5	3.01E-5	3.1E-5	0.0	0.0	7.26E-5	7.34E-5	2.56E-5	3.4E-5	3.43E-5	9.87E-5	6.7E-5	2.79E-5	2.89E-5	0.0015	0.0	0.0	0.0	4.26E-5	1.62E-5	2.25E-5	2.21E-5	0.0	3.15E-5	2.05E-5	0.0	0.0	3.11E-5	
Bar-headed Goose	1.469E-4	1.42E-5	2.7E-5	5.01E-5	0.0	2.58E-5	6.99E-5	0.0	1.46E-5	0.0	1.55E-5	0.0015	0.0015	0.0	0.0	0.0	1.78E-5	1.94E-5	1.045E-4	6.0E-5	5.24E-5	1.204E-4	1.55E-4	1.026E-4	3.5E-5	7.26E-5	1.101E-4	5.12E-5	6.8E-5	6.85E-5	0.0015	1.117E-4	5.58E-5	1.445E-4	5.216E-4	2.269E-4	2.41E-5	8.14E-5	4.26E-5	1.948E-4	6.75E-5	8.84E-5	4.34E-5	9.44E-5	1.025E-4	3.97E-5	0.0015	4.15E-5	
Snow Goose	0.0029032	0.002056	0.0018388	0.001602	0.0012179	0.001173	0.0011478	0.0015829	0.0011237	9.427E-4	9.483E-4	4.238E-4	0.0015	3.07E-5	4.36E-5	2.36E-5	8.91E-5	1.94E-5	0.0	2.0E-5	4.976E-4	1.506E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.82E-5	2.04E-5	2.13E-5	6.49E-5	4.725E-4	7.297E-4	0.0026468	0.0049577	0.0067237	0.0049255	0.0030888	0.0031443	
